vocab,amount
gloves,2
glowed,1
glues,1
go,38
goal,5
goats,1
god,6
god’s,1
god”,1
goes,7
going,11
gold,3
golddiggers,5
golden,2
golf,3
golfer,4
golfers,1
gone,6
gone”,1
good,48
goodbye,2
goods,3
goose,2
gorgeous”,1
gossip,2
got,49
gothic,2
gotten,1
govern,1
governing,1
government,24
governments,1
governor,1
gown,1
go”,1
grabbed,1
grace,1
graceful,3
gracious,2
grade,1
grades,1
grading,1
gradual,1
gradually,5
graduate,1
graduated,2
graduating,1
graduation,4
graffiti,5
graffitists,1
grains,1
grammar,3
grammatical,1
grams,1
grand,3
grandchild,1
granddaughters,1
grandfather,5
grandfathers,1
grandfather’s,2
grandma,1
grandma’s,1
grandmothers,1
grandpa,6
grandparents,2
grandparents’,1
grandpa’s,1
grandsons,1
granted,1
grape,1
grapefruit,1
grasp,1
grasshoppers,2
grassland,1
grateful,1
gratitude,1
grave,2
gray,1
greasy,1
great,48
greatest,3
greatly,3
greedy,1
greek,4
green,2
greengrass,1
greenhouse,4
greet,1
greeted,2
greetings,1
greg,1
grew,3
grief,3
grieve,1
grill,2
grilled,3
grilling,2
grin,1
grocery,1
ground,11
group,5
groups,2
grow,5
growing,1
grown,1
grows,1
growth,2
guam,1
guarantee,1
guaranteed,1
guard,5
guardian,1
guards,1
gucci,4
guess,3
guessed,1
guesswork”,1
guests,3
guidance,2
guide,4
guided,3
guilt,3
guilty,2
guitar,3
guitarist,3
gulf,1
gum,2
gun,5
gunned,1
gunshot,1
guy,8
guys,4
guy”,1
gym,2
gymnasium,1
habit,6
habits,1
habitual,1
had,184
hadn’t,1
hair,11
hair;,1
haircut,1
hairdos,1
hairdresser,1
hairs,1
half,7
halfclosed,1
hall,5
hallway,1
halt,1
ham,1
hamburgers,1
hand,3
handed,2
handicraft,1
handkerchief,2
handle,1
handling,1
hands,6
hands;,1
handsome,2
handwriting,1
handy,1
hangers,1
hanging,1
hangover,2
happen,2
happened,14
happening,1
happens,2
happier,1
happy,10
harbor,2
harbors,1
hard,30
hardens,1
harder,1
hardly,1
hardship,1
hardware,1
hardworking,1
harm,3
harmed,1
harmful,2
harmonica,1
harmony,1
harry,1
harsh,1
harvard,2
harvest,1
has,85
haste,1
hasten,1
hasty,1
hat,1
hatched,1
hated,1
hating,1
hatred,1
have,172
haven’t,2
having,12
hawks,1
he,665
he/she,4
head,6
headline,1
headlines,1
headphone,1
headphones,1
headquarters,2
heads,1
head’s,3
heal,1
health,10
healthcare,1
healthful,2
healthily,1
healthy,7
hear,5
heard,14
heart,6
hearts,3
heater,2
heating,1
heaven,1
heaven”,1
heavier,3
heavily,1
heaving,1
heavy,13
heel;,1
heels,1
height,1
held,12
helicopter,1
helicopters,2
hello,1
hello”,1
helmet,1
help,35
helped,1
helpful,3
helping,3
helps,2
her,249
herd,1
here,7
heroine,1
herself,9
hesitation,1
he’s,13
hid,4
hidden,1
hide,2
hiding,3
high,26
higher,3
highest,2
highlighters,1
highly,3
highrisk,1
highschool,1
hill,1
hillbilly,1
hills,1
him,156
him/her,2
himself,12
him”,1
hint,1
hints,1
hip,1
hiphop,1
hire,2
hired,2
hires,1
his,355
his/her,1
historian,1
historic,1
historical,3
history,10
hit,4
hitchhike,1
hitting,1
hobby,2
hoe,1
hold,5
holding,2
holds,1
hole,2
holiday,3
hollow,1
hollywood,2
holy,1
home,42
homeland,1
homeless,1
homelessness,1
homemade,1
homesick,1
homestay,1
homework,5
honest,2
honesty,3
honey,1
honeymoon,3
honor,1
honorable,1
honored,2
hook,1
hooked,1
hooks,1
hope,8
hoped,6
hopeful,1
hopefully,1
hopes,1
hopped,1
horizon,1
horn,2
horrible,6
horrified,1
horror,1
horse,3
hoses,1
hoses”,1
hospital,15
hospitals,1
host,3
hosted,1
hostel,1
hot,10
hotel,6
hottest,1
hour,2
hours,19
house,44
household,1
households,1
housekeeper,2
houses,2
housewife,1
housewives,1
housework,2
housing,1
hovering,1
how,47
however,73
hug,3
huge,1
human,9
humanity”,1
humans,3
humans’,2
human’s,1
humble,1
humid,1
humidity,1
humor,1
humorous,1
hundred,4
hundreds,5
hung,3
hunger,1
hungry,1
hunt,1
hunted,1
hunter,1
hunters,1
hunting,4
hunting”,1
hurling,1
hurricane,1
hurries,1
hurt,10
hurting,1
husband,12
husbands,1
hut,1
hybrid,1
hydrogen,1
i,743
ice,4
iceberg,1
iced,1
iceland,1
iconic,1
id,2
idea,16
ideal,1
ideas,5
idea’s,1
identical,1
identification,1
identify,1
identity,4
idiom,1
idiot,1
idle,2
idling,1
idol,1
if,55
ignorance,1
ignorant,1
ignore,3
ignored,1
ikea,1
ill,1
illegal,8
illegality,1
illegible,1
illness,1
illustrated,1
illustrations,1
image,4
imagery,1
images,5
imaginable,1
imaginary,1
imagination,1
imaginative,1
imagine,2
imitate,1
imitation,1
immediate,1
immediately,4
immigrants,1
immigrated,1
immigration,3
impact,2
implication,1
implies,1
implying,1
importance,2
important,29
importantly,3
imported,1
importing,1
imposes,1
impossibility,1
impossible,2
impotence,1
impressed,3
impression,1
impressionism,1
impressive,4
improve,3
improvement,3
impudently,1
in,755
inc,1
inch,1
incident,2
inciting,1
include,1
included,3
including,10
income,2
incomparable,1
increase,1
increases,1
increasing,1
increasingly,1
incredible,3
incurred,1
indeed,5
independence,2
independent,5
india,1
indicate,1
indicates,1
indication,1
indirectly,1
indispensable,1
individual,1
indoor,1
indoors,1
indulged,1
indulges,1
industrial,1
industry,3
inevitably,1
infant’s,1
infatuated,1
infected,2
infection,2
infectious,1
inferior,1
inferred,1
infidelity,1
infinite,1
inflation,1
influence,3
influenced,2
influences,1
influential,1
inform,2
information,7
informative,1
ingredients,2
inhabitants,2
inherit,2
inherited,2
initial,1
initially,3
injection,1
injured,9
injury,2
injustice,1
ink,2
inn,2
inner,1
innocence,3
innocent,1
innovative,1
input,1
insects,2
insert,1
inside,8
insist,1
inspect,1
inspection,2
inspiration,2
inspire,1
inspired,1
installation,1
installed,1
instance,1
instant,1
instantly,1
instead,15
instinct,1
institute,1
instruct,1
instructions,2
instructor,4
instructor’s,1
instrument,3
insulted,1
insults,1
insurance,2
insurrection,5
intellectual,1
intelligence,3
intelligent,1
intend,2
intended,1
intending,1
intense,3
intensify,1
intensity,1
intensive,1
intention,5
interact,1
interacted,1
interaction,1
interest,5
interested,5
interesting,7
interfering,1
interior,1
intermediate,1
internal,1
international,6
internationally,1
internet,18
interpersonal,1
interpret,2
interrupting,1
interruption,1
interview,7
intimate,1
intimidate,1
into,51
intonation,1
intravenous,1
introduce,2
introduction,2
intruders,1
invaded,1
invasion,1
invented,1
inventing,1
invention,2
inventor,1
invested,1
investigate,1
investigates,1
investigating,1
investigation,1
investment,1
invitation,1
invite,2
invited,6
invites,1
inviting,2
involved,2
involving,1
in”,2
iraq,1
iron,2
irreplaceable,1
irritated,1
is,399
isabella,4
island,5
isn’t,3
isolated,4
isolation,1
issue,5
issues,2
it,308
it;,1
italian,2
italy,2
itching,1
items,4
its,14
it’s,55
it”,1
iucn,1
ivory,4
i’d,2
i’ll,13
i’m,15
i’ve,14
jacket,3
jahan,1
jail,4
jam,5
jams,1
january,1
japanese,3
jar,7
jason,6
jason’s,1
jaws,1
jazz,8
jealous,2
jealousy,2
jeans,2
jeep,1
jelly,1
jennifer,1
jenny,9
jenny’s,1
jessica,3
jet,1
jewel,1
jewelry,3
jimmy,12
job,43
jobless,3
jobs,5
jogs,1
john,28
john’s,13
join,11
joined,3
joining,1
joins,1
joke,2
jokes,1
joking,1
jokingly:,1
journal,4
journalist,2
journey,2
joy,2
joyful,1
joyfully,1
judge,2
judgement,1
juice,4
july,1
jump,3
jumped,3
jumping,1
june,2
jungle,2
junior,3
junk,2
just,56
justice,1
kathy,2
keen,1
keep,19
keeper,1
keeping,2
keeps,3
kelly,4
kept,12
ketchup,2
kettle,1
kevin,3
key,1
keyboard,3
keynes”,1
kicked,6
kicking,1
kid,7
kids,23
kids’,2
kilda,1
kill,11
killed,2
killer,1
killing,1
kills,1
kilograms,2
kind,13
kindergarten,1
kindhearted,1
kindness,2
kinds,15
king,2
kingdom,1
kiss,1
kitchen,5
kite,1
kitten,1
kitty,1
knees,2
knelt,1
knew,19
knife,1
knight,2
knit,1
knobs,1
knock,1
knocked,1
knot,1
knots,1
know,27
knowing,2
knowledge,8
known,4
knows,2
knuckles,1
koalas,2
korphe,3
kung,1
labeled,1
labor,1
laboratory,3
labors,1
labors’,1
lace,1
lack,7
lacked,3
lacking,1
lacks,2
ladder,1
ladies,2
lady,6
ladybugs,1
lady’s,2
lag,1
lagging,1
lai,2
laid,2
lake,2
lakes,1
lamborghini,1
lambs,1
lamp,1
land,4
landlord,2
landmarks,1
landscape,3
landslide,1
lane,2
lanes,1
language,6
lanka,2
lantern,6
laps,1
large,9
largely,2
largest,1
last,49
late,10
lately,2
later,15
latest,6
latin,1
latter,1
laugh,2
laughed,3
laughing,5
laughter,3
launch,2
launched,2
launches,1
laundry,1
lavish,1
law,2
lawful,1
lawn,2
lawrence,4
lawrence’s,2
lawyer,1
lay,5
laying,1
lazy,1
lcd,2
lead,3
leader,11
leaders,1
leadership,1
leads,1
leaf,1
leaning,1
leap,1
learn,7
learned,3
learning,3
least,6
leather,4
leave,10
leaves,2
leaving,4
lecture,2
lecturer,1
led,2
lee,3
left,21
leg,3
legal,1
legend,2
legends,1
legs,4
leisure,8
leisurely,2
lemon,2
lemonade,1
lend,1
length,1
lengthen,1
lens,1
leopard,1
lesbian,1
less,13
lesson,1
lessons,1
let,16
letter,7
letters,1
letter’s,1
lettuce,1
leukemia,1
level,5
liar,1
liars,1
liar”,1
liberal,1
liberty,1
librarian,1
libraries,1
library,2
license,1
license;,1
licking,1
lids,1
lie,4
lied,1
lies,4
lie”,1
life,92
life;,1
lifeboat,1
lifeguard,1
lifestyle,2
lifestyles,1
lifetime,1
life”,3
lifted,1
light,7
lighted,1
lightened,1
lighter,1
lightning,1
lights,6
like,122
liked,9
likely,3
likes,3
lil,4
lily,1
limbs,2
limit,1
limitation,1
limitations,1
limited,4
lin,7
line,2
linen,1
ling,1
lining;,1
link,1
linkin,4
lin’s,1
lion,2
lip,1
lips,1
lipstick,1
liquid,1
liquor,1
lisa,4
list,1
listed,1
listen,4
listened,2
listener,1
listening,4
lit,1
literacy,2
literary,1
literature,3
litter,1
little,6
live,30
lived,21
liver,2
livered,1
lives,13
livestock,1
living,23
loads,1
loaf,1
loan,1
lobby,2
lobster,2
local,6
locals,5
located,5
location,2
locations,1
lock,1
locked,3
locker,1
logic,1
logical,1
logs,1
lollipop,1
lonely,5
long,22
longdistance,2
longed,1
longer,6
longlived,1
long”,1
look,16
looked,14
looking,8
looks,4
loose,1
loosened,2
lopez,1
lord,1
lose,12
loser,1
losing,3
loss,1
lost,16
lot,44
lotion,1
lots,3
loud,3
loudly,5
loudspeaker,1
loudspeakers,1
lounge,1
lousy,1
love,34
love;,1
loved,14
lovely,4
lover,5
lovers,1
loves,3
love”,1
loving,1
low,9
lower,1
lowerclass,1
lowrance,4
lowstatus,1
loyal,1
loyalty,1
luck,2
luckily,6
lucky,2
luggage,1
lunar,3
lunch,3
lung,3
lungs,1
lust,2
luxuries,2
luxurious,3
luxury,3
lv,2
lying,3
machine,3
machinery,1
machines,1
mad,5
madam”,1
made,50
magazine,5
magic,2
magical,1
magician,2
magnet,1
magnetic,1
magnificent,1
mahjong,3
maid,2
maids”,1
mail,1
main,13
mainly,6
mainstream,1
maintain,5
major,4
majority,2
make,65
maker,1
makes,8
makeup,2
making,27
maldives,1
male,2
males,1
mall,4
mall’s,1
maltreat,1
malvern,2
man,43
manage,1
managed,1
management,2
manager,3
mandarin,1
mandy,5
mandy’s,1
mango,1
manhattan,1
manicure,1
mankind,1
manner,2
manners,1
mansion,1
manual,1
manufacturer,1
manufactures,1
many,53
man’s,4
map,1
marathon,2
marble,2
march,1
marched,1
margin,1
marijuana,7
marijuana:,1
marital,1
mark,7
market,9
market;,1
marketing,1
markets,1
mark’s,2
marriage,4
married,7
marry,2
martial,4
marvelous,1
mary,9
mashed,1
mask,2
mass,2
massage,1
massive,1
master,3
masters,2
mat,1
match,3
matched,4
material,1
materials,5
mates,1
math,2
mathematical,2
mathematics,2
matter,12
mattered,3
matters,2
mature,2
maturity,1
maximum,2
may,11
maybe,16
mayor,7
mayor’s,2
mcdonald’s,1
me,140
meadow,1
meal,3
mean,4
meaning,3
meaningful,1
meaningless,1
means,7
meant,4
meanwhile,2
measurable,1
measure,1
measures,2
meat,6
mechanic,1
mechanical,1
medal,1
media,2
medical,4
medicine,6
medium,1
meet,7
meeting,5
meets,2
melbourne,2
melodies,1
melody,1
melon,1
melted,1
member,7
members,7
membership,1
members’,1
memorable,1
memorial,1
memories,3
memorize,1
memory,7
men,9
mend,1
mental,3
mentioned,4
menu,2
men’s,1
men”,1
meowing,1
merchant,2
mercy,1
mere,4
merits,1
merry,1
mess,3
message,1
messages,1
messenger,1
messy,2
met,9
metal,1
meteoric,1
meters,1
methods,1
metro,2
me”,3
mice,1
microphone,1
microscope,3
microwave,3
microwaves,3
middle,4
middleaged,2
middleclass,1
midnight,1
might,21
mighty,2
mike,1
mild,1
miles,4
military,6
milk,6
mill,5
million,4
millionaire,1
millions,1
milton,1
mind,13
minds,1
mine,3
miner,1
minerals,1
mini,2
minimum,1
minister,5
minister’s,1
ministry,2
minor,1
minorities,1
minus,1
minute,4
minutes,9
miracle,3
mirror,3
mischief,1
miserable,1
misery,1
misfortune,1
misfortunes,1
mislead,1
miss,3
missile,1
missiles,1
missing,1
mission,2
mist,2
mistake,2
mistakes,3
misunderstand,1
mix,1
mixed,2
mixture,1
mob,1
mobile,3
mobility,1
model,9
models,5
moderate,1
modern,11
modest,1
modesty,1
modifications,1
modified,2
moist,1
moisture,1
moldy,1
mom,10
moment,6
mom’s,1
monday,1
money,57
money”,1
monitoring,1
monk,2
monkey,1
monster,1
montblanc,1
month,26
monthly,1
months,13
monument,1
mood,4
moon,2
moonlight,1
mop,1
moral,1
more,55
moreover,3
morning,22
mortenson,2
mortenson’s,1
mosquitoes,1
most,62
mostly,2
motel,1
mother,24
mothers,2
mother’s,3
moths,1
motion,1
motivated,1
motivation,3
motor,1
motorcycle,1
mountain,4
mountaineer,1
mountainous,3
mountains,4
moustache;,1
mouth,1
movable,1
move,6
moved,8
movement,1
movements,2
movie,9
movies,11
movie’s,1
moving,1
mowing,1
mp3,2
mr,15
mrs,2
mrt,1
ms,1
mtv,1
much,57
mud,1
muddy,1
mugs,1
mule,2
multiple,1
multiplied,1
municipal,1
murder,1
murderer,1
murmured,1
muscles,1
museum,10
museum’s,1
mushrooms,3
music,31
musical,2
musician,1
musicians,2
muslim,1
muslims,1
must,9
mutual,2
my,443
myself,12
mysterious,4
mystery,1
nagged,1
nail,2
nails,1
naked,3
name,9
named,1
namely,1
nanny,1
nap,1
napkin,1
narrow,4
nasal,1
nasty,1
nation,1
national,1
nationality,1
nationwide,1
native,2
natural,7
naturally,1
nature,6
naughty,3
navy,2
naïve,2
near,10
nearby,6
nearest,1
nearly,3
nearsighted,1
neat,1
necessarily,1
necessary,4
necessities,2
neck,1
necklace,2
necktie,1
need,21
needed,25
needles,1
needs,13
needy,1
negative,5
neglected,1
negotiate,1
negotiated,1
negotiations,1
neighbor,1
neighborhood,4
neighboring,1
neighbors,5
neighbor’s,1
neither,7
nephew,8
nerves,1
nervous,2
nervously,1
nest,1
nests,1
netizens,1
nets,1
network,1
networking,1
networks,1
neutral,1
never,37
nevertheless,4
new,39
newlybuilt,1
news,10
newspaper,6
newspapers,1
newspaper’s,1
next,33
nice,10
nicely,1
niches,1
nickname,1
niece,2
night,44
nightfall,1
nightmare,3
nightmares,1
nights,2
nike,1
nine,2
nineteen,1
ninety,2
no,69
noble,2
nobody,7
nod,1
nodded,2
nodding,1
noise,9
noisy,3
none,2
nonsense,2
nonusers,1
noodles,2
noon,1
nor,6
normal,2
normally,1
north,3
northern,1
nose,2
not,156
notables,1
notation,1
note,2
notebook,1
notes,1
nothing,12
notice,2
noticeboard,1
noticed,3
notorious,2
nots,1
nouns,2
novel,2
novelist,1
novels,2
november,1
now,40
now;,1
nowadays,7
no”,1
ntd,3
nuclear,3
number,5
numbers,2
numerous,2
nun,3
nurse,2
nursery,1
nursing,1
nut,1
nylon,1
oaks,1
obedience,1
obedient,2
obey,1
object,1
objections,1
objective,2
obligation,1
observation,2
observed,1
observes,1
obsessed,1
obstacles,1
obtained,2
obvious,4
occasion,1
occasional,1
occasionally,1
occasions,2
occupation,1
occupied,1
occupies,1
occurred,1
ocean,1
october,2
odd,8
of,868
off,25
offence,1
offend,2
offensive,1
offer,2
offered,2
offerings,2
office,11
officer,2
official,1
officials,5
offroad,1
often,13
of”,1
oh,2
oil,1
ok,3
old,27
older,2
omitted,1
on,314
once,22
one,159
ones,1
oneweek,1
one’s,2
one”,1
onion,1
online,7
only,37
only;,1
onto,1
open,4
opened,5
opening,2
openminded,2
opera,2
operate,1
operating,1
operation,1
operator,1
operators,1
operator’s,1
opinion,3
opinions,2
opportunistic,1
opportunities,2
opportunity,4
oppose,1
opposed,1
opposite,1
optimistic,1
option,2
or,92
oral,1
orange,2
oranges,2
oranges”,1
orbit,1
orchard,1
orchestra,2
orchestral,1
order,33
ordered,3
orderly,1
ordinary,4
organ,1
organic,1
organization,4
organization’s,1
organizing,1
origin,1
original,1
originally,3
originated,3
origins,1
orphanage,1
orphans,4
other,56
others,12
others’,1
otherwise,4
other’s,3
ought,1
our,80
ourselves,4
ourselves”,1
out,85
outcome,2
outdoor,2
outdoors,2
outfit,1
outfits,1
outline,1
outside,12
outstanding,2
out”,1
oval,2
oven,1
over,36
overcoat,2
overcome,3
overemphasizing,1
overestimate,1
overlooked,1
overnight,1
overpasses,1
overseas,2
overtaken,1
overthrow,1
overtime,1
owed,1
owls,1
own,26
owned,4
owner,8
owners,2
ownership,1
owner’s,1
owning,1
oxen,1
oxygen,1
o’clock,5
pace,5
package,2
packed,1
packs,1
page,1
paid,7
pain,5
painful,1
paint,3
painted,3
painter,2
painters,1
painter’s,2
painting,6
paintings,6
pair,7
pairs,2
pajamas,1
pakistan,4
paksitan,1
pal,1
palace,2
pale,1
palm,1
pan,1
panasonic,1
pancakes,1
panda,1
pandas,2
pandora,1
panel,1
pang,1
panic,2
pants,3
pants”,1
papayas,1
papa’s,1
paper,3
papers,1
parachute,1
parade,1
paradise,1
paragraph,1
paralyzed,1
paraphernalia,2
pardon,1
parents,31
parents’,1
parent’s,1
paris,4
park,14
parking,2
park’s,1
parrots,2
part,8
partial,1
participants,2
participated,3
participation,1
participle,1
particular,2
particularly,1
parties,4
partly,3
partner,4
partnership,1
parttime,4
party,28
party;,1
pass,1
passage,1
passed,11
passenger,1
passengers,3
passersby,1
passing,3
passion,8
passionately,1
passive,1
passport,1
password,1
past,11
pasta,2
paste,1
pasted,1
pastime,1
pat,1
patent,2
path,1
pathways,1
patience,2
patient,1
patients,6
patrick,4
patriotic,1
patrol,1
pattern,1
patterned,1
patterns,1
paul,7
pause,1
pavement,1
pawn,1
paws,1
pay,14
paying,2
payment,2
pays,1
peace,2
peaceful,4
peacetime,1
peach,3
peak,2
peanuts,1
pear,1
pearls,2
peas,2
pebbles,1
peculiar,2
pedal,1
peeled,1
peels,1
peeped,1
peer,1
penalty,1
pencil,2
penguin,1
penguins,1
penny,1
pens,1
people,96
people’s,7
pepper,2
per,3
percent,7
percentage,1
percy,1
perfect,6
perfection,2
perfectly,4
perform,8
performance,26
performances,3
performed,4
performer,1
performing,3
performs,1
perfume,2
perhaps,1
period,8
permanent,2
permission,4
permitted,1
perseverance,2
persian,1
persisted,1
person,24
personal,5
personality,4
persuade,2
persuaded,2
persuasion,1
persuasive,1
pertinent,1
pessimistic,1
pesticide,1
pests,2
pet,4
peta,1
petals,1
peter,14
peter’s,1
petition,1
phase,2
phenomenon,2
phenomenon;,1
philosophers,1
philosophical,1
philosophy,3
phone,10
photo,2
photographer,1
photography,2
photos,5
phrase,1
physical,3
physician,1
physicist,1
physics,2
pianist,3
pianists,4
piano,9
pick,4
picked,5
picking,3
pickpocket,1
picnic,1
picture,2
pictures,1
pie,3
piece,3
pieces,2
pig,3
pigeon,5
pile,2
piles,1
pillows,1
pills,1
pilot,3
pilot’s,4
pin,1
pine,2
pineapples,1
pingpong,1
pink,2
pint,1
pioneer,1
pious,1
pipe,3
pirate,1
pirated,1
pirates,2
pit,1
pitched,1
pitied,2
pitiful,1
pity,2
pizzas,1
place,26
place;,1
placed,1
places,6
plain,2
plan,6
plane,2
planet,3
planets,2
planned,3
planning,4
plans,4
plant,2
planted,3
planting,1
plants,2
plastic,1
plate,1
plates,4
platform,2
play,19
playboy,2
playboys,2
played,8
player,1
players,5
playful,1
playground,1
playing,16
plays,5
pleasant,1
please,4
pleased,1
pleasure,4
plentiful,1
plenty,3
plot,3
plots,1
plucked,1
plugged,1
plum,2
plumber,3
plums,1
plural,1
plus,2
pm,1
pocket,1
poem,1
poet,1
poetry,1
point,7
points,1
poison,2
poisonous,1
polar,8
pole,4
police,23
policeman,6
policemen,3
policies,2
policy,4
polish,3
polishing,1
polite,1
political,3
politician,5
politicians,3
politics,1
poll,1
polluted,1
pollution,4
pond,1
pondering,1
pony,1
pool,1
poor,5
pop,1
popcorn,2
popped,1
popular,9
popularity,4
popularize,1
population,3
porcelain,1
port,2
portable,1
porter,2
portion,1
portrait,3
portraits,1
portrayed,1
pose,1
position,3
positions,1
positive,2
possess,2
possession,2
possibility,3
possible,9
possibly,1
postage,1
postcard,1
posted,2
poster,1
posters,1
postindustrialized,1
postman,1
postpone,1
postponed,1
pot,5
potato,2
potatoes,4
potential,1
pottery,1
pounds,1
pouring,1
poverty,3
powder,1
power,10
powerful,1
practical,1
practice,9
practiced,1
practicing,3
praise,1
praised,6
pray,2
prayers,1
precious,1
precise,1
predict,2
prediction,1
prefer,2
preferable,1
preferred,1
pregnancy,1
pregnant,2
premiere,1
premium,1
preparation,1
prepare,5
prepared,3
preposition,1
presence,2
present,4
presentation,1
presentations,1
presents,1
preservation,1
preserve,1
president,6
press,4
pressed,1
pressure,10
pressure”,1
pretend,1
pretended,1
pretending,2
pretty,6
prevent,5
prevention,1
previous,4
prey,1
price,10
priceless,1
prices,1
pride,1
priest,2
primary,2
prime,6
primitive,1
primitives,1
prince,4
princess,2
prince’s,1
principal,3
principle,2
print,1
printed,2
printer,1
prison,3
prisoners,2
privacy,2
private,3
privileged,1
privileges,1
prize,4
prizes,1
probable,1
probably,5
problem,11
problems,15
problems”,1
procedure,1
proceed,1
proceeded,1
process,3
processed,1
proclaim,1
produced,6
producer,2
product,1
production,3
productive,1
products,10
profession,1
professional,11
professor,4
professors,1
professors’,1
profit,1
profitable,1
profits,5
program,2
programs,1
progress,2
progressing,1
project,1
prominent,1
promise,1
promised,5
promising,4
promote,2
promoted,2
promotion,3
prompt,1
promptly,1
pronounce,2
pronounced,1
pronunciation,2
proof,1
propaganda,1
proper,2
properly,1
properties,1
property,2
proposal,5
propose,2
proposed,4
proposing,1
prospering,1
prosperity,2
prosperous,1
protect,7
protected,4
protecting,2
protection,2
protective,1
protector,1
proteins,1
protest,1
proud,2
prove,1
proved,1
proverb,1
proves,1
provide,2
provided,3
provides,1
providing,1
prowl,1
psychological,1
psychologist,1
psychology,2
pub,4
public,21
publication,1
publicity,1
public’s,1
published,6
publishers,1
publishing,1
pudding,1
pull,1
pulling,1
pumping,1
pumpkin,2
pumps,1
punched,1
punished,1
punishments,2
punk,1
pupils,1
puppet,1
puppy,3
purchase,1
pure,2
purple,1
purpose,5
purse,1
pursue,1
pursue;,1
pursuing,1
pursuit,1
push,1
pushes,1
pushing,1
put,24
putting,3
puzzled,1
quaking,1
qualification,3
quality,5
quantify,1
quarrel,4
quarter,1
queen,1
queer,1
question,2
questions,11
quick,2
quickly,2
quiet,4
quilt,1
quit,7
quite,7
quizzed,1
quotation,1
quoted,1
rabbit’s,1
race,3
racers,1
racial,1
racing,1
radar,1
radically,1
radio,3
rag,1
rage,1
railroad,1
rain,6
rainbow,1
rainfall,1
raining,1
rainy,2
raise,3
raised,1
raisins,1
ran,12
rang,2
range,2
ranked,1
ransom,1
rap,1
rapid,3
rapper,2
rare,2
rarely,1
rate,6
rather,12
rats,2
raw,1
rays,1
razor,2
reach,4
reached,3
reacted,1
reaction,1
read,19
reader,2
readers,4
reading,5
reads,3
ready,5
real,5
realistic,1
reality,4
realize,1
realized,5
realize”,1
really,27
rearing,1
reason,9
reasonable,1
reasons,3
rebecca,3
rebel,2
rebels,1
rebel’s,1
rebuild,1
recall,2
recalled,1
receipt,1
receive,5
received,9
receiver,1
recent,1
recently,19
reception,1
recipe,3
recited,1
recognition,1
recognized,2
recommendation,1
recommends,1
reconciled,1
reconciliation,1
reconsider,1
record,3
recorded,2
recorder,2
recording,2
recordings,1
records,2
recover,2
recovered,2
recovery,1
recreation,1
recruitment,1
rectangle,1
rectangular,1
recycle,3
recycled,1
red,14
redone,1
reduce,4
reduction,1
redundant;,1
reference,1
refers,1
reflect,1
reflection,2
reforms,1
refresh,2
refreshing,1
refreshment,1
refrigerator,2
refugees,1
refunded,1
refusal,1
refused,2
regained,1
regarded,1
regarding,7
regimes,1
regime’s,1
reginae,1
region,2
regional,1
register,1
registered,1
registration,1
regret,1
regretful,1
regretted,3
regular,4
regularly,3
regulate,1
regulations,1
rehearsal,1
rejected,3
rejection,1
rejects,1
relate,1
relations,2
relationship,8
relationship;,1
relatives,2
relax,4
relaxation,1
release,3
released,4
reliable,2
relief,3
relieve,2
religion,2
religions,2
religious,3
reluctant,2
rely,1
remain,2
remained,1
remains,3
remarkable,2
remarks,4
remedy,3
remember,8
remembered,3
reminded,2
reminds,3
remit,1
remote,2
remove,1
removed,1
renew,2
renowned,2
rent,2
renting,1
repair,2
repayment,1
repeated,1
repetition,1
replaced,1
replacement,1
replay,1
replied,3
reply,2
report,3
reported,4
reporter,1
reporters,4
represent,1
representations,1
representative,5
represented,1
represents,2
reproduce,1
reproductions,1
republic,1
reputation,3
requested,3
requesting,1
requests,1
required,1
requirements,1
rescue,1
rescued,1
research,4
researched,1
researchers,3
researches,1
researching,1
resemble,1
resembled,1
reservations,1
reserved,1
resident,1
residents,7
resignation,1
resigned,1
resist,3
resistance,1
resolutely,1
resolution,3
resolved,1
resounded,1
resource,1
respect,5
respectable,1
respected,1
respectful,1
respectfully,1
respond,1
responding,1
response,1
responses,1
responsibilities,1
responsibility,2
responsible,6
rest,9
restarted,1
restaurant,22
restaurants,10
rested,1
restore,1
restricted,1
restriction,1
restrictions,1
restroom,3
result,9
resulted,2
results,2
resume,1
resumes,1
retain,1
retire,1
retired,6
retiree,1
retirement,1
retiring,1
retreated,2
return,1
returned,2
reunion,2
reveal,1
revealed,1
revenge,2
reviewed,1
revise,1
revision,1
revolution,1
revolution:,1
revolutionary,1
rewards,1
rhymes,1
rhythms,1
ribbon,1
rice,6
rich,11
riched,1
riches,1
rid,4
riddle,1
ride,5
riding,2
rigging,1
right,13
rights,3
rights”,1
right”,2
ring,1
ringing,1
rings,1
ripe,1
rise,4
risen,1
rises,1
risk,3
ritual,1
river,9
rivers,2
riverside,1
road,8
roads,1
roared,1
roast,1
roasted,2
rob,2
robbed,1
robber,3
robbery,3
robbing,1
robe,1
robot,3
rock,6
rocked,1
rockets,1
rocky,1
rode,2
role,4
rolex,1
roll,2
rolled,1
roller,5
romance,1
romantic,3
roof,1
room,18
rooms,2
rooster,1
root,2
rope,1
rose,1
roses,1
rotted,1
rotten,1
rough,1
roughly,1
round,1
rounds,1
routes,3
routine,2
rowed,1
royal,1
rubbed,1
rubber,1
rude,4
rug,1
ruined,4
ruin”,1
rule,3
ruler,1
rules,3
